SAROD,8.45,10.95,2.5,Tihai
SAROD,16.2,21,4.8,"Speeds up and slows down, attending to beat"
TABLA,14.35,16.05,1.7,Tihai (imitation)
INTERACTION,16.013,16.983,0.97,Mutual body movement
