Body Part,LEar,LEar,LEar,LElbow,LElbow,LElbow,LEye,LEye,LEye,LShoulder,LShoulder,LShoulder,LWrist,LWrist,LWrist,MidHip,MidHip,MidHip,Neck,Neck,Neck,Nose,Nose,Nose,REar,REar,REar,RElbow,RElbow,RElbow,REye,REye,REye,RShoulder,RShoulder,RShoulder,RWrist,RWrist,RWrist
Variable,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c,x,y,c
519,,,,431.293,445.344,0.789,387.404,282.393,0.891,409.125,332.585,0.826,431.233,418.675,0.838,368.682,483.025,0.714,365.548,332.558,0.834,381.118,293.384,0.905,349.232,275.438,0.843,295.000,420.116,0.808,370.196,280.899,0.942,320.008,331.675,0.805,318.433,485.675,0.854
520,,,,431.311,445.571,0.785,387.402,282.393,0.891,409.178,332.589,0.824,431.245,418.674,0.837,368.682,483.025,0.714,365.716,332.562,0.834,381.117,293.385,0.903,349.402,275.513,0.842,295.002,420.290,0.808,370.196,280.895,0.940,320.008,331.930,0.805,318.438,485.740,0.855
521,,,,431.200,445.454,0.784,387.401,282.395,0.891,409.197,332.591,0.824,431.251,418.766,0.833,368.682,483.025,0.714,365.635,332.566,0.835,381.114,293.390,0.903,349.404,275.651,0.842,295.003,420.388,0.807,370.194,280.894,0.940,320.008,332.175,0.805,318.439,485.465,0.856
522,395.201,280.960,0.074,431.313,445.355,0.783,387.405,282.396,0.890,408.960,332.592,0.824,431.257,419.045,0.829,368.682,483.025,0.714,365.647,332.567,0.835,381.113,293.395,0.903,349.329,275.856,0.842,295.006,420.388,0.805,370.193,280.892,0.941,320.008,332.388,0.805,318.438,485.199,0.856
523,395.201,280.960,0.074,431.316,445.186,0.784,387.411,282.398,0.889,408.826,332.592,0.824,431.266,419.263,0.829,368.682,483.025,0.714,365.731,332.567,0.835,381.114,293.398,0.904,349.417,276.125,0.842,295.010,420.280,0.804,370.195,280.890,0.941,320.007,332.661,0.805,318.438,485.040,0.858
524,,,,431.320,444.968,0.781,387.416,282.399,0.888,408.457,332.592,0.824,431.271,419.417,0.830,368.682,483.025,0.714,365.865,332.568,0.834,381.114,293.400,0.904,349.548,276.201,0.842,295.012,420.283,0.805,370.197,280.889,0.942,320.007,332.751,0.805,318.436,484.868,0.858
525,,,,431.322,444.717,0.783,387.422,282.403,0.888,408.099,332.592,0.825,431.275,419.400,0.833,368.682,483.025,0.714,366.030,332.567,0.834,381.116,293.405,0.906,349.836,276.181,0.841,295.012,420.284,0.806,370.199,280.890,0.943,320.007,332.660,0.804,318.435,484.825,0.858
526,,,,431.325,444.457,0.786,387.426,282.406,0.887,407.885,332.591,0.824,431.279,419.543,0.836,368.682,483.025,0.714,366.321,332.565,0.834,381.116,293.409,0.908,350.050,276.416,0.841,295.014,420.285,0.805,370.198,280.892,0.943,320.010,332.386,0.804,318.435,484.910,0.858
527,,,,431.327,444.210,0.788,387.430,282.410,0.887,407.815,332.590,0.824,431.284,419.602,0.839,368.682,483.025,0.714,366.374,332.565,0.834,381.115,293.413,0.910,349.957,276.181,0.841,295.014,420.284,0.806,370.196,280.896,0.944,320.011,332.175,0.804,318.434,485.121,0.856
528,,,,431.326,443.992,0.791,387.431,282.414,0.886,407.886,332.587,0.825,431.286,419.583,0.838,368.682,483.025,0.714,366.416,332.562,0.835,381.114,293.416,0.912,349.672,276.086,0.841,295.015,420.396,0.806,370.193,280.899,0.943,320.011,331.933,0.804,318.434,485.572,0.854
